"User Story: User Story Reference","User Story: Owner Name","Release","JIRA key","User Story: Created By"
"US-0009586","Aayush Shrivastava","Dearborn PNM Release","SFDC-42705","Aayush Shrivastava"
"US-0009587","Aayush Shrivastava","Dearborn PNM Release","SFDC-42591","Aayush Shrivastava"
"US-0009597","Aayush Shrivastava","Dearborn PNM Release","SFDC-42552","Aayush Shrivastava"
"US-0009600","Aayush Shrivastava","Dearborn PNM Release","SFDC-42744","Aayush Shrivastava"
"US-0009632","Aayush Shrivastava","Dearborn PNM Release","SFDC-42846","Aayush Shrivastava"
"US-0009645","Aayush Shrivastava","Dearborn PNM Release","SFDC-42847","Aayush Shrivastava"
"US-0009646","Aayush Shrivastava","Dearborn PNM Release","SFDC-42845","Aayush Shrivastava"
"US-0009647","Aayush Shrivastava","Dearborn PNM Release","SFDC-47672","Aayush Shrivastava"
"US-0009656","Aayush Shrivastava","Dearborn PNM Release","SFDC-42867","Aayush Shrivastava"
"US-0009661","Aayush Shrivastava","Dearborn PNM Release","SFDC-42890","Aayush Shrivastava"
"US-0009667","Aayush Shrivastava","Dearborn PNM Release","SFDC-42884","Aayush Shrivastava"
"US-0009691","Aayush Shrivastava","Dearborn PNM Release","SFDC-42916","Aayush Shrivastava"
"US-0009696","Aayush Shrivastava","Dearborn PNM Release","SFDC-42846","Aayush Shrivastava"
"US-0009699","Aayush Shrivastava","Dearborn PNM Release","SFDC-42846","Aayush Shrivastava"
"US-0009730","Aayush Shrivastava","Dearborn PNM Release","SFDC-42891","Aayush Shrivastava"
"US-0009761","Aayush Shrivastava","Dearborn PNM Release","SFDC-43110","Aayush Shrivastava"
"US-0009763","Aayush Shrivastava","Dearborn PNM Release","SFDC-43098","Aayush Shrivastava"
"US-0009780","Aayush Shrivastava","Dearborn PNM Release","SFDC-43137","Aayush Shrivastava"
"US-0009781","Aayush Shrivastava","Dearborn PNM Release","SFDC-43087","Aayush Shrivastava"
"US-0009783","Aayush Shrivastava","Dearborn PNM Release","SFDC-43085","Aayush Shrivastava"
"US-0009813","Aayush Shrivastava","Dearborn PNM Release","SFDC-42916","Aayush Shrivastava"
"US-0009819","Aayush Shrivastava","Dearborn PNM Release","SFDC-42969","Aayush Shrivastava"
"US-0009841","Aayush Shrivastava","Dearborn PNM Release","SFDC-43338","Aayush Shrivastava"
